Entry DateTime,Index,Symbol,Direction,Entry Price,Exit DateTime,Exit Price,Stop Loss,Target,Trailing SL,Quantity,Brokerage,P&L,Margin Required,% Gain/Loss,max up,max down,max up %,max down %
2025-08-06 12:39:43,NIFTY,NSE:NIFTY2580724600PE,BUY,63.75,2025-08-06 12:40:15,71.28,51.0,89.2,71.28,75,13.39,551.36,4781.25,11.53,1128.75,,23.61,
2025-08-07 09:21:16,NIFTY,NSE:NIFTY2580724500CE,BUY,69.15,2025-08-07 09:24:05,55.3,55.3,96.9,55.3,75,11.9,-1050.65,5186.25,-20.26,221.25,-1091.25,4.27,-21.04
2025-08-07 09:36:48,NIFTY,NSE:NIFTY2580724550PE,BUY,66.65,2025-08-07 09:37:20,53.3,53.3,93.4,53.3,75,11.47,-1012.72,4998.75,-20.26,401.25,-1196.25,8.03,-23.93
2025-08-08 09:28:17,NIFTY,NSE:NIFTY2581424500PE,BUY,106.5,2025-08-08 09:58:18,129.15,85.2,149.1,119.67,75,12.08,1686.67,7987.5,21.12,1976.25,,24.74,
2025-08-08 12:03:05,NIFTY,NSE:NIFTY2581424500PE,BUY,165.0,2025-08-08 12:33:10,148.85,132.0,231.0,132.0,75,15.27,-1226.52,12375.0,-9.91,435.0,-1608.75,3.52,-13.0
2025-08-08 13:46:30,NIFTY,NSE:NIFTY2581424400PE,BUY,98.5,2025-08-08 14:14:51,109.03,78.8,137.9,109.03,75,10.46,779.29,7387.5,10.55,1578.75,-217.5,21.37,-2.94
2025-08-08 15:09:54,NIFTY,NSE:NIFTY2581424400PE,BUY,122.35,2025-08-08 15:15:33,135.35,97.9,171.2,135.35,75,13.01,961.99,9176.25,10.48,1950.0,-431.25,21.25,-4.7
2025-08-11 09:31:25,NIFTY,NSE:NIFTY2581424300PE,BUY,80.95,2025-08-11 09:34:54,64.8,64.8,113.3,64.8,75,6.94,-1218.19,6071.25,-20.06,585.0,-1383.75,9.64,-22.79
2025-08-11 09:37:49,NIFTY,NSE:NIFTY2581424400PE,BUY,113.9,2025-08-11 10:07:53,103.3,91.1,159.5,91.1,75,10.57,-805.57,8542.5,-9.43,1383.75,-1083.75,16.2,-12.69
2025-08-11 11:13:33,NIFTY,NSE:NIFTY2581424400PE,BUY,94.8,2025-08-11 11:22:34,75.8,75.8,132.8,75.8,75,8.13,-1433.13,7110.0,-20.16,,-1485.0,,-20.89
2025-08-12 09:22:04,NIFTY,NSE:NIFTY2581424600CE,BUY,92.8,2025-08-12 09:22:29,74.2,74.2,130.0,74.2,75,7.96,-1402.96,6960.0,-20.16,52.5,-2820.0,0.75,-40.52
2025-08-12 09:31:31,NIFTY,NSE:NIFTY2581424600CE,BUY,116.9,2025-08-12 10:01:34,157.25,93.5,163.7,137.65,75,14.3,3011.95,8767.5,34.35,3112.5,-626.25,35.5,-7.14
2025-08-12 10:19:15,NIFTY,NSE:NIFTY2581424600PE,BUY,63.85,2025-08-12 10:31:25,89.3,51.1,89.3,77.5,75,8.04,1900.71,4788.75,39.69,2047.5,-363.75,42.76,-7.6
2025-08-12 10:36:00,NIFTY,NSE:NIFTY2581424700CE,BUY,61.45,2025-08-12 10:36:12,49.2,49.2,86.0,49.2,75,5.26,-924.01,4608.75,-20.05,15.0,-1091.25,0.33,-23.68
2025-08-12 13:57:06,NIFTY,NSE:NIFTY2581424600CE,BUY,87.5,,,70.0,113.75,70.0,75,,,,,,,,
2025-08-12 14:49:32,NIFTY,NSE:NIFTY2581424500PE,BUY,75.7,,,60.56,98.41,60.56,75,,,,,,,,
2025-08-12 15:02:58,NIFTY,NSE:NIFTY2581424500PE,BUY,79.1,,,63.28,102.83,63.28,75,,,,,,,,
2025-08-13 09:21:04,NIFTY,NSE:NIFTY2581424600PE,BUY,92.3,,,73.84,119.99,73.84,75,,,,,,,,
2025-08-13 09:32:44,NIFTY,NSE:NIFTY2581424600PE,BUY,94.3,2025-08-13 09:40:20,75.44,75.44,122.59,75.44,75,8.09,-1422.59,,-20.11,585.0,-1575.0,8.27,-22.27
2025-08-13 09:44:54,NIFTY,NSE:NIFTY2581424600PE,BUY,77.0,2025-08-13 09:58:11,61.6,61.6,100.1,61.6,75,6.6,-1161.6,,-20.11,120.0,-1241.25,2.08,-21.49
2025-08-13 10:08:55,NIFTY,NSE:NIFTY2581424600PE,BUY,68.5,2025-08-13 10:49:58,76.08,54.8,89.05,76.08,75,7.3,561.2,,10.92,1136.25,-551.25,22.12,-10.73
